YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,WN,780,N291WN,HRL,HOU,1355,1430,35,7,1437,65,54,41,277,1518,6,1500,1524,24,0,0,,0,0,2,22,0
2015,1,1,4,WN,428,N913WN,LAS,OAK,1355,1434,39,7,1441,90,77,65,407,1546,5,1525,1551,26,0,0,,0,0,4,22,0
2015,1,1,4,WN,4122,N486WN,MCO,DEN,1355,1420,25,16,1436,250,250,228,1546,1624,6,1605,1630,25,0,0,,0,0,23,2,0
2015,1,1,4,WN,3851,N446WN,OAK,BUR,1355,1415,20,10,1425,65,62,50,325,1515,2,1500,1517,17,0,0,,0,0,10,7,0
2015,1,1,4,AA,188,N3KRAA,DFW,RSW,1355,1441,46,16,1457,145,146,126,1017,1803,4,1720,1807,47,0,0,,1,0,42,4,0
2015,1,1,4,AA,1495,N5EKAA,EGE,DFW,1355,1448,53,13,1501,130,133,113,721,1754,7,1705,1801,56,0,0,,3,0,1,52,0
2015,1,1,4,EV,4178,N17560,MCI,IAH,1355,1350,-5,13,1403,127,150,123,643,1606,14,1602,1620,18,0,0,,18,0,0,0,0
2015,1,1,4,EV,4419,N14198,EWR,XNA,1355,1355,0,17,1412,203,230,209,1131,1641,4,1618,1645,27,0,0,,27,0,0,0,0
2015,1,1,4,EV,6179,N21144,DEN,ISN,1355,1513,78,11,1524,110,103,86,576,1750,6,1645,1756,71,0,0,,0,0,22,49,0
2015,1,1,4,F9,1067,N204FR,ORD,DEN,1355,1423,28,16,1439,160,158,134,888,1553,8,1535,1601,26,0,0,,0,0,26,0,0
2015,1,1,4,EV,5106,N135EV,SAV,ATL,1355,1443,48,11,1454,67,53,37,214,1531,5,1502,1536,34,0,0,,0,0,34,0,0
2015,1,1,4,OO,4469,N802SK,SLC,IAH,1355,1441,46,17,1458,179,185,158,1195,1836,10,1754,1846,52,0,0,,6,0,46,0,0
2015,1,1,4,OO,4565,N641CA,SLC,OKC,1355,1404,9,21,1425,134,140,113,866,1718,6,1709,1724,15,0,0,,6,0,9,0,0
2015,1,1,4,OO,5421,N562SW,LAX,SBP,1355,1554,119,23,1617,59,63,36,156,1653,4,1454,1657,123,0,0,,4,0,0,119,0
2015,1,1,4,OO,6500,N910SW,SGF,DEN,1355,1523,88,6,1529,128,132,105,637,1614,21,1503,1635,92,0,0,,4,0,0,88,0
2015,1,1,4,UA,1584,N76269,EWR,ATL,1359,1459,60,13,1512,162,139,120,746,1712,6,1641,1718,37,0,0,,0,0,25,12,0
2015,1,1,4,UA,1737,N30401,SLC,IAH,1359,1451,52,11,1502,183,200,159,1195,1841,30,1802,1911,69,0,0,,17,0,52,0,0
2015,1,1,4,F9,739,N922FR,CVG,DEN,1359,1420,21,18,1438,186,205,180,1069,1538,7,1505,1545,40,0,0,,19,0,15,6,0
2015,1,1,4,OO,6370,N708SK,DEN,CLE,1359,1430,31,21,1451,166,155,126,1201,1857,8,1845,1905,20,0,0,,0,0,15,5,0
2015,1,1,4,UA,224,N648UA,EWR,ORD,1400,1416,16,18,1434,153,157,129,719,1543,10,1533,1553,20,0,0,,4,0,16,0,0
2015,1,1,4,UA,366,N545UA,LIH,LAX,1400,1434,34,7,1441,330,324,291,2615,2132,26,2130,2158,28,0,0,,0,0,28,0,0
2015,1,1,4,WN,961,N758SW,ATL,SAT,1400,1411,11,14,1425,140,159,141,874,1546,4,1520,1550,30,0,0,,19,0,7,4,0
2015,1,1,4,WN,3929,N707SA,DAL,SAT,1400,1419,19,11,1430,60,67,53,248,1523,3,1500,1526,26,0,0,,7,0,19,0,0
2015,1,1,4,WN,4456,N228WN,GEG,DEN,1400,1408,8,17,1425,125,156,129,836,1734,10,1705,1744,39,0,0,,31,0,8,0,0
2015,1,1,4,WN,868,N559WN,LAS,SNA,1400,1439,39,9,1448,60,51,38,226,1526,4,1500,1530,30,0,0,,0,0,27,3,0
2015,1,1,4,WN,881,N468WN,OAK,LAX,1400,1439,39,11,1450,70,69,53,337,1543,5,1510,1548,38,0,0,,0,0,38,0,0
2015,1,1,4,WN,3843,N609SW,SMF,ONT,1400,1436,36,8,1444,75,70,58,390,1542,4,1515,1546,31,0,0,,0,0,3,28,0
